review_scores_value,accommodates,bathrooms,bedrooms,beds,cancellation_policy,id,host_is_superhost,extra_people,property_type,room_type,price,neighbourhood_cleansed
,4,1.5,2.0,3.0,moderate,12147973,0,0.0,House,Entire home/apt,250.0,Roslindale
9.0,2,1.0,1.0,1.0,moderate,3075044,0,0.0,Apartment,Private room,65.0,Roslindale
10.0,2,1.0,1.0,1.0,moderate,6976,1,20.0,Apartment,Private room,65.0,Roslindale
10.0,4,1.0,1.0,2.0,moderate,1436513,0,25.0,House,Private room,75.0,Roslindale
10.0,2,1.5,1.0,2.0,flexible,7651065,1,0.0,House,Private room,79.0,Roslindale
10.0,2,1.0,1.0,1.0,flexible,12386020,1,0.0,Condominium,Private room,75.0,Roslindale
9.0,3,1.0,1.0,2.0,strict,5706985,0,25.0,Apartment,Entire home/apt,100.0,Roslindale
10.0,2,2.0,1.0,1.0,moderate,2843445,1,15.0,House,Private room,75.0,Roslindale
10.0,2,1.0,1.0,2.0,moderate,753446,1,0.0,Condominium,Private room,58.0,Roslindale
9.0,5,1.0,2.0,2.0,strict,849408,1,25.0,Apartment,Entire home/apt,229.0,Roslindale
10.0,2,1.0,1.0,1.0,flexible,12023024,0,10.0,House,Private room,60.0,Roslindale
9.0,1,1.0,1.0,1.0,flexible,1668313,1,0.0,House,Private room,57.0,Roslindale
10.0,4,1.0,2.0,2.0,flexible,2684840,0,0.0,Condominium,Entire home/apt,93.0,Roslindale
10.0,5,1.0,2.0,3.0,moderate,13547301,0,30.0,Apartment,Entire home/apt,150.0,Roslindale
9.0,2,1.5,2.0,2.0,moderate,5434353,0,35.0,House,Entire home/apt,145.0,Roslindale
10.0,1,0.0,1.0,1.0,strict,225979,0,0.0,Apartment,Private room,60.0,Roslindale
10.0,4,1.0,1.0,3.0,flexible,3420384,0,15.0,House,Private room,165.0,Roslindale
10.0,2,1.0,1.0,1.0,flexible,13512930,0,15.0,Condominium,Private room,75.0,Roslindale
,1,1.0,1.0,1.0,strict,7482195,1,10.0,House,Private room,49.0,Roslindale
10.0,2,1.0,1.0,1.0,strict,7252607,1,10.0,House,Private room,49.0,Roslindale
10.0,1,2.5,1.0,1.0,flexible,2583074,1,0.0,Villa,Private room,40.0,Roslindale
10.0,3,1.0,0.0,2.0,moderate,13251243,0,0.0,House,Entire home/apt,120.0,Roslindale
9.0,2,0.0,1.0,1.0,strict,225834,0,10.0,Apartment,Private room,70.0,Roslindale
10.0,8,1.0,3.0,5.0,flexible,6400432,0,0.0,House,Entire home/apt,150.0,Roslindale
10.0,5,3.5,4.0,3.0,moderate,5498472,0,0.0,House,Entire home/apt,175.0,Roslindale
10.0,2,1.5,1.0,1.0,moderate,894539,1,0.0,House,Private room,95.0,Roslindale
9.0,2,1.0,1.0,1.0,strict,879929,0,0.0,Apartment,Private room,90.0,Roslindale
10.0,2,1.0,1.0,1.0,moderate,9218312,1,0.0,House,Private room,95.0,Roslindale
9.0,2,1.0,1.0,2.0,flexible,321328,0,100.0,Apartment,Private room,100.0,Roslindale
10.0,2,1.0,1.0,1.0,flexible,1810172,1,5.0,House,Private room,67.0,Roslindale
9.0,1,1.0,1.0,1.0,flexible,6513924,0,0.0,Condominium,Private room,55.0,Roslindale
10.0,6,1.0,2.0,2.0,strict,7093109,0,20.0,Apartment,Entire home/apt,200.0,Roslindale
,4,1.0,1.0,2.0,flexible,14690527,0,0.0,Apartment,Entire home/apt,150.0,Roslindale
10.0,1,1.0,1.0,1.0,strict,7086825,1,10.0,House,Private room,49.0,Roslindale
10.0,1,1.5,1.0,1.0,flexible,1861070,0,0.0,House,Private room,75.0,Roslindale
9.0,4,1.0,1.0,2.0,strict,4283698,0,20.0,House,Entire home/apt,110.0,Roslindale
,2,1.0,1.0,1.0,strict,10116095,0,0.0,Apartment,Private room,115.0,Roslindale
9.0,16,1.0,3.0,5.0,strict,8548176,0,25.0,House,Entire home/apt,125.0,Roslindale
9.0,16,2.5,3.0,7.0,strict,4922204,0,25.0,House,Entire home/apt,200.0,Roslindale
10.0,2,2.0,1.0,1.0,moderate,4085362,1,15.0,House,Private room,75.0,Roslindale
9.0,1,1.0,1.0,1.0,flexible,3755609,0,0.0,House,Private room,78.0,Roslindale
10.0,4,1.0,1.0,2.0,flexible,13768853,0,0.0,Apartment,Private room,50.0,Roslindale
10.0,1,1.0,1.0,1.0,flexible,1936861,1,10.0,Apartment,Private room,60.0,Roslindale
9.0,1,1.5,1.0,1.0,flexible,4461111,1,0.0,House,Private room,45.0,Roslindale
9.0,4,1.0,2.0,2.0,strict,1724900,0,33.0,House,Entire home/apt,145.0,Roslindale
9.0,2,2.0,1.0,1.0,flexible,13937181,0,10.0,House,Private room,45.0,Roslindale
10.0,2,1.5,1.0,1.0,moderate,3968797,1,0.0,House,Private room,85.0,Roslindale
10.0,1,1.0,1.0,1.0,strict,1494726,0,25.0,House,Private room,75.0,Roslindale
10.0,2,2.0,1.0,1.0,flexible,8473851,0,10.0,House,Private room,50.0,Roslindale
10.0,1,2.5,1.0,1.0,flexible,3575220,1,0.0,House,Private room,45.0,Roslindale
9.0,2,1.0,1.0,1.0,moderate,1591827,0,50.0,House,Private room,60.0,Roslindale
10.0,3,1.0,1.0,1.0,strict,3229255,1,0.0,Apartment,Entire home/apt,95.0,Roslindale
10.0,2,1.0,0.0,1.0,strict,1721016,0,39.0,Apartment,Entire home/apt,89.0,Roslindale
,3,1.0,0.0,2.0,flexible,12535687,0,25.0,Apartment,Entire home/apt,110.0,Roslindale
,2,1.0,1.0,1.0,flexible,12994227,0,15.0,Condominium,Private room,65.0,Roslindale
6.0,7,2.0,3.0,3.0,strict,12927298,0,25.0,House,Entire home/apt,285.0,Roslindale
,4,1.0,1.0,1.0,moderate,169938,0,0.0,Apartment,Entire home/apt,140.0,Jamaica Plain
9.0,2,1.0,1.0,1.0,strict,594693,0,10.0,Apartment,Private room,70.0,Jamaica Plain
9.0,2,1.0,1.0,1.0,flexible,2384581,0,20.0,House,Private room,95.0,Jamaica Plain
10.0,2,1.0,1.0,1.0,flexible,735970,0,0.0,Bed & Breakfast,Private room,55.0,Jamaica Plain
10.0,2,1.0,1.0,1.0,moderate,4262255,1,0.0,Apartment,Private room,80.0,Jamaica Plain
10.0,2,1.0,1.0,1.0,flexible,4000384,0,0.0,House,Private room,120.0,Jamaica Plain
10.0,2,1.0,1.0,1.0,flexible,6693305,1,0.0,Apartment,Private room,65.0,Jamaica Plain
10.0,4,1.0,1.0,2.0,moderate,6730758,1,20.0,Apartment,Private room,100.0,Jamaica Plain
10.0,1,1.0,1.0,1.0,moderate,6248970,1,0.0,Apartment,Private room,65.0,Jamaica Plain
,1,1.0,1.0,1.0,flexible,12806707,0,0.0,House,Private room,60.0,Jamaica Plain
9.0,2,1.0,1.0,1.0,flexible,14246616,0,0.0,Apartment,Private room,63.0,Jamaica Plain
9.0,2,1.0,1.0,1.0,flexible,3703674,0,0.0,Townhouse,Private room,75.0,Jamaica Plain
9.0,2,1.0,1.0,1.0,strict,4792901,0,25.0,House,Private room,65.0,Jamaica Plain
9.0,1,1.0,1.0,1.0,strict,5717528,0,0.0,Apartment,Private room,110.0,Jamaica Plain
8.0,2,1.0,1.0,1.0,strict,5601743,0,25.0,House,Private room,46.0,Jamaica Plain
,3,1.0,1.0,1.0,strict,13333862,0,0.0,Apartment,Private room,75.0,Jamaica Plain
10.0,2,1.5,1.0,1.0,moderate,519272,0,50.0,Apartment,Private room,62.0,Jamaica Plain
,2,1.5,1.0,1.0,flexible,14090779,0,12.0,Condominium,Private room,69.0,Jamaica Plain
10.0,2,1.0,1.0,1.0,moderate,8481291,0,15.0,Apartment,Private room,69.0,Jamaica Plain
10.0,2,2.0,1.0,1.0,moderate,6990904,0,0.0,House,Private room,73.0,Jamaica Plain
10.0,1,1.0,1.0,1.0,strict,197727,0,20.0,Apartment,Private room,85.0,Jamaica Plain
9.0,2,2.0,1.0,1.0,strict,932853,1,20.0,Apartment,Private room,120.0,Jamaica Plain
10.0,2,3.5,1.0,2.0,flexible,11159585,0,25.0,House,Private room,125.0,Jamaica Plain
