review_scores_value,accommodates,bathrooms,bedrooms,beds,cancellation_policy,id,host_is_superhost,extra_people,property_type,room_type,price,neighbourhood_cleansed
10.0,4,1.0,1.0,1.0,moderate,241032,0.0,5.0,Apartment,Entire home/apt,85.0,West Queen Anne
10.0,4,1.0,1.0,1.0,strict,953595,1.0,0.0,Apartment,Entire home/apt,150.0,West Queen Anne
10.0,11,4.5,5.0,7.0,strict,3308979,0.0,25.0,House,Entire home/apt,975.0,West Queen Anne
,3,1.0,0.0,2.0,flexible,7421966,0.0,0.0,Apartment,Entire home/apt,100.0,West Queen Anne
9.0,6,2.0,3.0,3.0,strict,278830,0.0,15.0,House,Entire home/apt,450.0,West Queen Anne
10.0,2,1.0,1.0,1.0,strict,5956968,0.0,30.0,House,Private room,120.0,West Queen Anne
10.0,2,1.0,1.0,1.0,moderate,1909058,1.0,10.0,House,Private room,80.0,West Queen Anne
10.0,2,1.0,1.0,1.0,strict,856550,1.0,0.0,Cabin,Private room,60.0,West Queen Anne
10.0,2,1.0,1.0,1.0,strict,4948745,0.0,0.0,Apartment,Private room,90.0,West Queen Anne
9.0,4,1.0,1.0,1.0,strict,2493658,1.0,0.0,Apartment,Entire home/apt,150.0,West Queen Anne
10.0,2,1.0,1.0,1.0,moderate,175576,1.0,15.0,House,Entire home/apt,95.0,West Queen Anne
9.0,2,1.0,1.0,1.0,strict,4454295,0.0,0.0,House,Entire home/apt,99.0,West Queen Anne
10.0,4,1.0,2.0,3.0,moderate,3883392,1.0,0.0,Apartment,Entire home/apt,245.0,West Queen Anne
10.0,5,1.0,2.0,3.0,strict,8889257,0.0,20.0,House,Entire home/apt,165.0,West Queen Anne
10.0,16,3.5,6.0,15.0,strict,5680462,0.0,50.0,House,Entire home/apt,461.0,West Queen Anne
8.0,5,1.0,2.0,2.0,strict,8988178,0.0,0.0,House,Entire home/apt,109.0,West Queen Anne
9.0,2,1.0,1.0,1.0,moderate,3245876,0.0,25.0,Apartment,Private room,66.0,West Queen Anne
